id,ALLANIMALPROTECTION,ALLENVIRONMENT,ALLCOST,ALLHEALTH,ALLRELIGIOUSSPIRITUAL,ALLSOCIALINFLUENCE,ALLSOCIALJUSTICEWORLDHUNGER,ALLFOODTREND,ALLDISGUST
1228.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0
1238.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
1242.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0
1250.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
1254.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
1259.0,2.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0
1261.0,4.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0
1262.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,1.0
1264.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0
1267.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
1269.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
1273.0,5.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,5.0
1285.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0
1286.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0
1288.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0
1298.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
1300.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,4.0,1.0
1302.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0
1305.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0
1319.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0
1324.0,5.0,4.0,3.0,5.0,1.0,2.0,3.0,4.0,5.0
1326.0,5.0,5.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0
1328.0,1.0,5.0,4.0,5.0,1.0,4.0,4.0,2.0,4.0
1335.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0
1346.0,5.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0
1351.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
1352.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
1363.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1389.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
1395.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0
1403.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1435.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
1451.0,5.0,5.0,3.0,3.0,4.0,1.0,5.0,1.0,5.0
1454.0,2.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,4.0
1456.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0
1461.0,3.0,3.0,3.0,5.0,2.0,4.0,3.0,2.0,3.0
1462.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0
1463.0,4.0,5.0,2.0,3.0,1.0,3.0,5.0,1.0,5.0
1466.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0
1467.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,4.0
1478.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0
1480.0,3.0,5.0,5.0,5.0,3.0,1.0,3.0,3.0,5.0
1482.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,3.0,1.0
1483.0,,,,,,,,,
1506.0,5.0,4.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0
1511.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0
1513.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,2.0,5.0
1524.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
1526.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0
1528.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0
1533.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,1.0
1535.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0
1536.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,2.0
1546.0,5.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,5.0
1547.0,4.0,4.0,1.0,3.0,1.0,3.0,4.0,2.0,4.0
1549.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0
1571.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0
1573.0,5.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,5.0
1575.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,1.0,5.0
1583.0,5.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
1601.0,4.0,3.0,1.0,2.0,1.0,5.0,2.0,5.0,4.0
1620.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
1630.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
1661.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0
1665.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
