id,complication_in_preparing,time_consuming,no_restuarants_for_grab_n_go,easy_access,have_to_prepare_both_vegatrain_and_non_vegetarian,hard_time_grocery_shopping,difficult_during_time_of_transition
2531.0,1,1,1,1,1,1,1
2540.0,1,1,3,1,1,1,1
2546.0,1,1,1,5,1,1,1
2554.0,1,1,5,1,1,1,1
2556.0,3,3,5,5,3,1,3
2558.0,1,1,1,1,5,1,3
2565.0,1,1,3,1,1,1,5
2589.0,3,5,5,5,3,5,3
2607.0,1,5,5,1,1,1,3
2627.0,1,1,1,1,1,1,1
2629.0,1,3,3,1,1,1,1
2636.0,1,5,5,1,1,1,1
2660.0,3,5,1,1,1,1,5
2666.0,5,1,5,1,1,1,5
2685.0,1,1,3,1,1,1,1
2686.0,3,5,5,1,1,1,5
2707.0,1,1,5,1,1,1,1
2712.0,1,1,1,1,1,1,1
2727.0,5,5,1,1,5,3,5
2762.0,5,5,5,1,5,5,5
2764.0,1,1,1,1,5,1,1
2770.0,1,5,5,1,1,1,3
2780.0,1,1,1,1,5,1,1
2791.0,1,1,5,1,5,1,5
2793.0,1,1,5,3,3,1,3
2803.0,1,5,5,1,1,1,5
2806.0,3,3,1,3,1,1,1
2817.0,5,5,1,1,5,1,3
2819.0,5,1,3,1,1,1,5
2823.0,1,5,5,3,1,1,5
2829.0,1,3,1,3,3,1,1
2849.0,5,5,5,1,5,1,5
2850.0,1,1,1,1,1,1,3
2862.0,1,5,1,1,1,1,3
2885.0,1,1,1,5,1,1,1
2898.0,5,3,3,5,3,1,5
2914.0,1,1,1,1,1,1,1
2916.0,1,1,5,1,5,1,3
2928.0,1,1,1,1,1,1,1
2935.0,5,3,5,3,1,1,1
2949.0,5,5,5,1,1,1,5
2961.0,3,3,3,1,1,3,1
2966.0,1,1,1,1,1,1,1
2971.0,1,1,3,5,3,1,3
2977.0,1,5,1,1,1,1,1
2980.0,1,1,1,1,5,1,5
3000.0,1,1,5,1,3,3,1
3001.0,1,1,3,5,1,1,1
3006.0,3,1,1,3,1,3,1
3013.0,1,5,5,1,5,1,1
3014.0,1,1,1,1,5,1,1
3035.0,1,1,5,1,5,1,1
3042.0,5,5,1,1,1,1,1
3051.0,1,1,3,5,1,1,1
3065.0,1,3,1,1,1,1,1
3114.0,1,3,1,1,1,1,1
3142.0,1,3,5,1,1,1,1
3143.0,1,1,1,1,1,1,1
3166.0,1,1,1,1,1,1,3
3175.0,1,1,1,1,1,1,1
3178.0,5,5,5,5,1,1,1
3183.0,1,1,5,1,5,1,1
3214.0,5,5,5,1,5,5,5
3222.0,1,1,1,5,1,5,3
3226.0,1,1,1,1,1,1,1
3238.0,5,3,5,5,5,1,5
3247.0,3,3,1,3,5,1,3
3249.0,1,1,5,1,1,1,1
3278.0,3,5,1,1,1,1,1
3291.0,1,1,1,1,5,5,1
3293.0,5,3,3,3,1,3,5
3307.0,3,3,1,3,1,1,3
3309.0,3,5,3,3,3,3,3
3323.0,1,1,1,5,1,1,1
3326.0,1,1,5,1,5,1,3
3367.0,5,5,5,1,1,1,3
3370.0,1,1,1,5,1,1,1
3416.0,5,5,3,3,5,1,5
3443.0,5,3,5,1,5,3,5
3449.0,1,1,3,1,1,1,1
3459.0,3,3,5,3,3,1,3
3462.0,3,5,3,1,3,1,1
3463.0,1,1,3,3,1,1,1
3465.0,1,1,3,1,5,5,3
3471.0,3,3,3,3,3,3,3
3483.0,1,3,5,1,5,1,3
3499.0,1,1,1,3,1,1,1
3504.0,1,1,1,1,1,1,1
3524.0,1,1,1,1,1,1,1
3535.0,1,1,5,5,1,1,1
3537.0,5,5,5,5,1,1,5
3539.0,1,5,5,1,1,1,5
3562.0,5,5,1,1,1,1,5
3563.0,1,1,3,3,1,1,1
3596.0,1,1,1,1,1,1,1
3603.0,3,3,3,3,3,3,3
3623.0,3,5,5,3,1,5,5
3630.0,1,1,1,3,5,5,1
3650.0,5,1,3,3,1,1,3
3659.0,1,5,5,1,1,1,5
3660.0,1,1,3,1,1,1,1
3688.0,5,5,5,3,1,3,5
3693.0,3,5,1,5,1,1,3
3710.0,3,3,3,1,1,1,1
3733.0,5,5,3,1,3,1,3
3737.0,1,1,1,5,1,1,5
3763.0,5,5,5,5,5,1,3
3778.0,3,5,3,1,1,1,3
3810.0,1,1,5,1,1,1,1
3812.0,1,1,1,1,1,1,1
3826.0,1,1,3,1,1,1,1
3827.0,1,1,5,1,1,1,5
3846.0,1,1,1,1,5,1,3
3850.0,5,5,5,5,3,1,3
3851.0,1,3,3,1,3,1,1
3852.0,1,3,5,3,3,1,1
3855.0,3,5,3,3,5,5,3
3868.0,1,1,1,1,1,1,5
3869.0,5,5,5,3,5,1,3
3884.0,1,1,1,1,1,1,1
3893.0,1,1,5,1,1,1,5
3897.0,1,1,1,5,1,1,1
3898.0,1,3,1,1,1,1,1
3909.0,1,1,3,1,1,1,3
3915.0,5,3,5,3,3,3,3
3918.0,5,5,5,5,1,1,1
3925.0,1,1,3,5,5,3,1
3935.0,1,3,1,1,3,1,3
3942.0,1,1,1,1,1,1,1
3954.0,3,1,1,1,1,1,1
3960.0,1,1,1,1,3,1,1
3964.0,1,5,1,1,5,1,1
3984.0,1,1,1,1,5,1,5
3978.0,1,5,5,1,5,3,5
3981.0,3,3,5,1,1,1,1
3995.0,1,1,5,5,1,3,1
3999.0,5,5,5,3,5,1,1
4004.0,1,1,5,1,5,1,1
4014.0,3,3,3,3,3,3,3
4018.0,1,3,1,1,1,1,1
4026.0,5,5,5,3,5,1,5
4066.0,1,1,1,5,1,1,1
4070.0,3,1,3,3,3,3,3
4073.0,1,5,5,1,1,1,5
4074.0,1,1,5,1,1,1,1
4078.0,5,5,5,5,1,5,5
4086.0,1,1,3,1,5,1,1
4088.0,1,1,3,3,1,1,1
4090.0,1,5,5,1,5,3,5
4093.0,1,1,1,1,1,1,1
4096.0,3,3,3,3,3,3,3
4107.0,5,5,5,5,5,5,5
4113.0,1,1,5,1,1,1,1
4117.0,5,5,1,1,1,1,5
4130.0,5,5,1,1,1,1,5
4133.0,1,1,1,1,1,1,1
4140.0,1,1,1,1,1,1,1
4141.0,3,1,1,1,5,1,1
4160.0,3,5,3,3,5,3,3
4164.0,1,1,5,5,1,1,5
4191.0,1,1,3,1,1,1,1
4192.0,1,1,1,1,1,1,1
4209.0,5,5,3,3,1,5,3
4210.0,1,1,3,1,1,1,1
4214.0,5,5,5,3,1,1,1
4247.0,1,1,3,1,1,1,1
4257.0,1,1,3,1,1,1,1
4269.0,1,3,5,1,1,1,1
4276.0,3,5,5,1,5,3,3
4282.0,1,1,1,1,1,1,1
4292.0,3,3,5,1,1,1,3
4301.0,1,3,1,1,1,1,3
4306.0,5,5,5,5,1,3,3
4308.0,1,1,5,1,5,1,5
4319.0,5,5,5,1,1,1,1
4321.0,5,5,5,3,5,1,1
4322.0,1,5,1,5,5,1,3
4341.0,3,5,3,1,5,1,1
4348.0,1,1,5,1,1,1,1
4355.0,3,5,1,5,1,1,3
4357.0,5,5,1,3,1,1,1
4371.0,3,3,5,3,5,5,3
4379.0,3,1,1,1,1,1,1
4387.0,1,5,3,1,1,1,3
4389.0,1,1,3,3,1,1,1
4402.0,3,3,3,3,3,3,3
4409.0,1,1,1,1,1,1,1
4416.0,1,1,5,1,1,1,5
