id,ALLLENGTH,ALLTRANSITION,ALLINCONVENIENCE4D,ALLINCONVENIENCE3D
3650.0,3.0,3.0,0.0,0.0
3659.0,3.0,1.0,0.0,1.0
3660.0,2.0,1.0,0.0,0.0
3688.0,1.0,6.0,0.0,1.0
3693.0,3.0,1.0,1.0,0.0
3710.0,4.0,1.0,0.0,0.0
3733.0,1.0,1.0,0.0,0.0
3737.0,1.0,1.0,1.0,0.0
3763.0,3.0,1.0,1.0,1.0
3778.0,1.0,3.0,0.0,0.0
3810.0,3.0,2.0,0.0,1.0
3812.0,3.0,1.0,0.0,0.0
3826.0,6.0,1.0,0.0,0.0
3827.0,2.0,2.0,0.0,1.0
3846.0,3.0,2.0,0.0,0.0
3850.0,1.0,1.0,1.0,1.0
3851.0,3.0,4.0,0.0,0.0
3852.0,3.0,1.0,0.0,1.0
3855.0,1.0,1.0,0.0,0.0
3868.0,1.0,1.0,0.0,0.0
3869.0,3.0,6.0,0.0,1.0
3884.0,4.0,1.0,0.0,0.0
3893.0,3.0,1.0,0.0,1.0
3897.0,5.0,1.0,1.0,0.0
3898.0,3.0,1.0,0.0,0.0
3909.0,4.0,6.0,0.0,0.0
3915.0,1.0,1.0,0.0,1.0
3925.0,6.0,1.0,1.0,0.0
3942.0,5.0,3.0,0.0,0.0
3954.0,1.0,1.0,0.0,0.0
3960.0,7.0,6.0,0.0,0.0
3964.0,1.0,1.0,0.0,0.0
3984.0,2.0,2.0,0.0,0.0
3978.0,2.0,2.0,0.0,1.0
3981.0,6.0,1.0,0.0,1.0
3995.0,1.0,6.0,1.0,1.0
3999.0,5.0,1.0,0.0,1.0
4004.0,7.0,6.0,0.0,1.0
4014.0,4.0,1.0,0.0,0.0
4018.0,6.0,3.0,0.0,0.0
4026.0,1.0,2.0,0.0,1.0
4066.0,3.0,1.0,1.0,0.0
4070.0,1.0,1.0,0.0,0.0
4073.0,3.0,2.0,0.0,1.0
4074.0,3.0,1.0,0.0,1.0
4078.0,7.0,1.0,1.0,1.0
4086.0,7.0,6.0,0.0,0.0
4088.0,5.0,3.0,0.0,0.0
4090.0,2.0,3.0,0.0,1.0
4093.0,3.0,1.0,0.0,0.0
4096.0,1.0,1.0,0.0,0.0
4107.0,1.0,1.0,1.0,1.0
4113.0,2.0,2.0,0.0,1.0
4117.0,1.0,1.0,0.0,0.0
4130.0,1.0,1.0,0.0,0.0
4133.0,2.0,1.0,0.0,0.0
4140.0,3.0,3.0,0.0,0.0
4141.0,1.0,1.0,0.0,0.0
4160.0,1.0,1.0,0.0,0.0
4164.0,4.0,1.0,1.0,1.0
4191.0,4.0,1.0,0.0,0.0
4192.0,4.0,1.0,0.0,0.0
4209.0,1.0,6.0,0.0,0.0
4210.0,6.0,1.0,0.0,0.0
4214.0,1.0,6.0,0.0,1.0
4247.0,7.0,1.0,0.0,0.0
4257.0,1.0,3.0,0.0,0.0
4269.0,6.0,1.0,0.0,1.0
4276.0,4.0,3.0,0.0,1.0
4282.0,5.0,2.0,0.0,0.0
4292.0,7.0,6.0,0.0,1.0
4301.0,3.0,6.0,0.0,0.0
4306.0,1.0,1.0,1.0,1.0
4308.0,2.0,2.0,0.0,1.0
4319.0,2.0,2.0,0.0,1.0
4321.0,1.0,1.0,0.0,1.0
4322.0,1.0,1.0,1.0,0.0
4341.0,1.0,1.0,0.0,0.0
4348.0,2.0,1.0,0.0,1.0
4355.0,7.0,6.0,1.0,0.0
4357.0,6.0,6.0,0.0,0.0
4371.0,1.0,6.0,0.0,1.0
4379.0,5.0,2.0,0.0,0.0
4387.0,1.0,1.0,0.0,0.0
4389.0,6.0,1.0,0.0,0.0
4402.0,1.0,2.0,0.0,0.0
4409.0,3.0,1.0,0.0,0.0
4416.0,1.0,1.0,0.0,1.0
4425.0,6.0,5.0,0.0,0.0
4435.0,2.0,2.0,1.0,0.0
4450.0,1.0,6.0,0.0,0.0
4454.0,1.0,6.0,0.0,0.0
4457.0,4.0,6.0,1.0,0.0
4467.0,3.0,3.0,0.0,1.0
4472.0,2.0,1.0,0.0,0.0
4484.0,4.0,3.0,0.0,0.0
4494.0,6.0,6.0,0.0,0.0
4512.0,1.0,1.0,0.0,0.0
4520.0,4.0,1.0,0.0,0.0
4524.0,4.0,1.0,0.0,0.0
4565.0,1.0,3.0,0.0,1.0
4569.0,1.0,1.0,0.0,0.0
4574.0,2.0,1.0,0.0,0.0
4575.0,7.0,6.0,0.0,0.0
4576.0,5.0,6.0,0.0,0.0
4582.0,4.0,1.0,1.0,1.0
4584.0,3.0,1.0,0.0,1.0
4599.0,2.0,3.0,1.0,0.0
4613.0,3.0,1.0,0.0,1.0
4615.0,1.0,1.0,0.0,0.0
4626.0,2.0,1.0,0.0,1.0
4630.0,6.0,5.0,0.0,1.0
4637.0,2.0,2.0,0.0,1.0
4638.0,3.0,1.0,0.0,1.0
4642.0,2.0,2.0,0.0,1.0
4652.0,2.0,6.0,0.0,0.0
4663.0,2.0,3.0,0.0,0.0
4676.0,1.0,6.0,1.0,0.0
4683.0,7.0,6.0,1.0,1.0
4692.0,2.0,1.0,0.0,1.0
4705.0,1.0,1.0,1.0,0.0
4707.0,3.0,5.0,0.0,1.0
4731.0,2.0,6.0,0.0,0.0
4734.0,3.0,3.0,0.0,1.0
4737.0,2.0,1.0,1.0,1.0
4738.0,6.0,6.0,0.0,1.0
4763.0,6.0,6.0,0.0,1.0
4765.0,2.0,2.0,0.0,1.0
4777.0,6.0,1.0,0.0,0.0
4787.0,1.0,3.0,1.0,1.0
4793.0,1.0,1.0,1.0,1.0
4797.0,3.0,5.0,1.0,1.0
4801.0,3.0,1.0,0.0,1.0
4804.0,1.0,1.0,0.0,1.0
4806.0,1.0,1.0,1.0,0.0
4812.0,2.0,2.0,0.0,0.0
4822.0,2.0,6.0,0.0,1.0
4841.0,6.0,1.0,0.0,0.0
4849.0,2.0,1.0,0.0,0.0
4852.0,3.0,2.0,0.0,0.0
4856.0,6.0,2.0,0.0,1.0
4864.0,6.0,1.0,0.0,0.0
4865.0,6.0,3.0,0.0,1.0
4881.0,3.0,1.0,0.0,1.0
4883.0,2.0,2.0,0.0,0.0
4904.0,1.0,6.0,0.0,1.0
4913.0,6.0,5.0,1.0,1.0
4939.0,1.0,1.0,0.0,1.0
4941.0,3.0,2.0,0.0,1.0
4964.0,3.0,2.0,0.0,1.0
4979.0,1.0,1.0,0.0,1.0
4991.0,1.0,6.0,0.0,0.0
4992.0,6.0,1.0,0.0,0.0
5002.0,4.0,1.0,0.0,1.0
5006.0,1.0,2.0,1.0,1.0
5010.0,2.0,1.0,1.0,1.0
5017.0,3.0,1.0,1.0,1.0
5025.0,6.0,1.0,0.0,0.0
5035.0,3.0,1.0,0.0,0.0
5037.0,4.0,5.0,1.0,1.0
5061.0,6.0,1.0,0.0,1.0
5066.0,1.0,1.0,0.0,0.0
5067.0,3.0,2.0,1.0,0.0
5070.0,2.0,1.0,0.0,1.0
5075.0,7.0,6.0,0.0,0.0
5084.0,5.0,3.0,1.0,1.0
5099.0,5.0,5.0,1.0,0.0
5101.0,5.0,1.0,1.0,1.0
5115.0,1.0,1.0,0.0,1.0
5123.0,1.0,1.0,0.0,0.0
5134.0,1.0,2.0,0.0,0.0
5136.0,3.0,2.0,0.0,1.0
5138.0,1.0,3.0,0.0,0.0
5140.0,1.0,5.0,0.0,0.0
5166.0,1.0,1.0,0.0,0.0
5167.0,6.0,5.0,0.0,0.0
5168.0,3.0,1.0,0.0,0.0
5182.0,2.0,3.0,0.0,0.0
5191.0,1.0,1.0,0.0,0.0
5193.0,1.0,6.0,1.0,0.0
5198.0,2.0,1.0,1.0,1.0
5204.0,3.0,3.0,0.0,1.0
5209.0,1.0,2.0,0.0,0.0
5211.0,3.0,1.0,1.0,0.0
5238.0,1.0,2.0,0.0,0.0
5240.0,7.0,6.0,0.0,0.0
5250.0,3.0,1.0,0.0,1.0
5258.0,1.0,1.0,0.0,0.0
5260.0,3.0,1.0,1.0,0.0
5272.0,2.0,3.0,0.0,1.0
5273.0,1.0,1.0,0.0,1.0
5281.0,1.0,1.0,1.0,0.0
5291.0,5.0,2.0,1.0,1.0
5297.0,3.0,1.0,0.0,0.0
5311.0,1.0,1.0,1.0,1.0
5312.0,7.0,6.0,0.0,1.0
5321.0,1.0,1.0,0.0,1.0
5324.0,1.0,6.0,0.0,0.0
5335.0,1.0,1.0,0.0,1.0
5352.0,2.0,1.0,0.0,0.0
5369.0,3.0,1.0,0.0,1.0
5392.0,6.0,4.0,0.0,0.0
5395.0,3.0,1.0,1.0,1.0
5400.0,2.0,3.0,0.0,0.0
5402.0,1.0,1.0,0.0,0.0
5404.0,1.0,6.0,1.0,1.0
5420.0,3.0,6.0,0.0,0.0
5422.0,7.0,6.0,1.0,0.0
5428.0,6.0,3.0,0.0,1.0
5437.0,1.0,1.0,0.0,0.0
5449.0,3.0,3.0,1.0,1.0
5453.0,4.0,1.0,1.0,0.0
5480.0,7.0,6.0,0.0,0.0
5483.0,6.0,5.0,0.0,0.0
5503.0,2.0,1.0,0.0,0.0
5506.0,7.0,6.0,1.0,0.0
5514.0,1.0,1.0,1.0,0.0
5516.0,4.0,3.0,0.0,0.0
5522.0,6.0,1.0,0.0,1.0
5523.0,7.0,1.0,0.0,0.0
5541.0,2.0,2.0,0.0,1.0
5556.0,1.0,1.0,0.0,0.0
5564.0,5.0,1.0,0.0,1.0
5565.0,3.0,6.0,1.0,1.0
5582.0,3.0,2.0,0.0,1.0
5598.0,5.0,2.0,1.0,1.0
5607.0,6.0,6.0,0.0,1.0
5611.0,5.0,1.0,1.0,1.0
5613.0,5.0,3.0,0.0,1.0
5620.0,1.0,3.0,0.0,0.0
5643.0,6.0,1.0,1.0,0.0
5646.0,6.0,1.0,0.0,0.0
5648.0,3.0,1.0,0.0,1.0
5649.0,1.0,3.0,0.0,1.0
5650.0,4.0,6.0,0.0,1.0
5663.0,1.0,1.0,1.0,1.0
5674.0,4.0,2.0,0.0,0.0
5677.0,7.0,1.0,0.0,0.0
5690.0,2.0,1.0,1.0,0.0
5691.0,1.0,1.0,0.0,0.0
5694.0,2.0,6.0,0.0,0.0
5708.0,1.0,1.0,0.0,1.0
5711.0,1.0,6.0,0.0,0.0
5722.0,5.0,2.0,0.0,1.0
5729.0,6.0,1.0,0.0,0.0
5731.0,5.0,1.0,0.0,0.0
5737.0,6.0,1.0,0.0,0.0
5741.0,4.0,1.0,0.0,1.0
5763.0,2.0,3.0,1.0,1.0
5779.0,4.0,1.0,1.0,1.0
5795.0,6.0,1.0,0.0,1.0
5805.0,1.0,3.0,0.0,1.0
5830.0,2.0,2.0,0.0,1.0
5848.0,1.0,2.0,1.0,0.0
5849.0,2.0,1.0,0.0,1.0
5850.0,6.0,1.0,0.0,1.0
5852.0,2.0,3.0,1.0,0.0
5856.0,1.0,1.0,0.0,0.0
5862.0,7.0,6.0,0.0,0.0
5865.0,1.0,2.0,1.0,1.0
5879.0,2.0,1.0,0.0,0.0
5883.0,6.0,1.0,0.0,0.0
5884.0,1.0,6.0,1.0,0.0
5885.0,5.0,5.0,0.0,0.0
5888.0,6.0,4.0,0.0,1.0
5895.0,2.0,1.0,0.0,1.0
5908.0,1.0,1.0,0.0,0.0
5927.0,3.0,1.0,0.0,0.0
5942.0,4.0,4.0,0.0,1.0
5970.0,7.0,6.0,0.0,0.0
5971.0,2.0,2.0,0.0,0.0
5979.0,4.0,1.0,1.0,1.0
5988.0,4.0,6.0,0.0,0.0
5989.0,3.0,3.0,0.0,1.0
5998.0,1.0,5.0,0.0,0.0
6007.0,7.0,6.0,0.0,0.0
6020.0,4.0,1.0,0.0,0.0
6024.0,2.0,1.0,0.0,1.0
6039.0,2.0,1.0,1.0,1.0
6048.0,2.0,1.0,1.0,0.0
6056.0,2.0,5.0,0.0,1.0
