id,REGION,EDUCATIONFOURRANGES,POLITICAL3RANGES,RACEETHNICITY5RANGES,RELIGION
1182.0,2.0,4.0,3.0,4.0,5.0
1190.0,4.0,4.0,3.0,4.0,5.0
1194.0,4.0,4.0,2.0,2.0,5.0
1212.0,4.0,4.0,1.0,4.0,1.0
1213.0,1.0,3.0,1.0,4.0,1.0
1221.0,2.0,4.0,1.0,4.0,1.0
1228.0,2.0,4.0,3.0,4.0,5.0
1238.0,4.0,3.0,3.0,4.0,1.0
1242.0,4.0,4.0,1.0,4.0,1.0
1250.0,2.0,4.0,2.0,1.0,1.0
1254.0,4.0,4.0,2.0,4.0,5.0
1259.0,4.0,4.0,2.0,1.0,1.0
1261.0,2.0,4.0,3.0,4.0,5.0
1262.0,4.0,4.0,3.0,5.0,5.0
1264.0,4.0,4.0,2.0,4.0,4.0
1267.0,3.0,3.0,2.0,4.0,1.0
1269.0,2.0,4.0,3.0,4.0,4.0
1273.0,2.0,2.0,2.0,4.0,5.0
1285.0,4.0,4.0,2.0,3.0,5.0
1286.0,4.0,4.0,2.0,4.0,5.0
1288.0,2.0,3.0,3.0,4.0,1.0
1298.0,4.0,3.0,1.0,4.0,1.0
1300.0,4.0,4.0,3.0,4.0,5.0
1305.0,4.0,4.0,3.0,4.0,3.0
1319.0,4.0,4.0,1.0,2.0,2.0
1324.0,3.0,3.0,3.0,3.0,1.0
1326.0,2.0,4.0,2.0,4.0,5.0
1335.0,3.0,4.0,2.0,3.0,1.0
1346.0,3.0,3.0,3.0,4.0,5.0
1351.0,4.0,4.0,3.0,5.0,5.0
1352.0,4.0,3.0,3.0,4.0,2.0
1363.0,2.0,4.0,2.0,2.0,1.0
1389.0,3.0,4.0,3.0,4.0,1.0
1395.0,4.0,4.0,3.0,4.0,4.0
1403.0,1.0,4.0,3.0,4.0,5.0
1435.0,3.0,3.0,3.0,4.0,5.0
1451.0,1.0,3.0,3.0,4.0,1.0
1454.0,3.0,4.0,3.0,4.0,1.0
1456.0,1.0,3.0,3.0,4.0,5.0
1461.0,3.0,4.0,3.0,4.0,1.0
1462.0,1.0,4.0,1.0,4.0,2.0
1463.0,3.0,4.0,3.0,4.0,5.0
1466.0,2.0,4.0,3.0,4.0,5.0
1467.0,1.0,2.0,2.0,4.0,5.0
1478.0,2.0,4.0,1.0,3.0,5.0
1480.0,3.0,3.0,1.0,4.0,1.0
1482.0,2.0,4.0,3.0,1.0,1.0
1506.0,4.0,4.0,3.0,5.0,1.0
1511.0,3.0,3.0,3.0,4.0,1.0
1513.0,4.0,4.0,2.0,4.0,1.0
1524.0,2.0,4.0,3.0,4.0,5.0
1526.0,1.0,4.0,3.0,4.0,5.0
1528.0,4.0,4.0,1.0,1.0,1.0
1533.0,1.0,3.0,2.0,2.0,3.0
1535.0,1.0,4.0,3.0,4.0,1.0
1536.0,2.0,4.0,2.0,4.0,1.0
1546.0,2.0,3.0,3.0,4.0,1.0
1547.0,4.0,4.0,3.0,5.0,5.0
1549.0,4.0,4.0,2.0,1.0,1.0
1571.0,4.0,4.0,1.0,4.0,1.0
1573.0,4.0,4.0,3.0,4.0,4.0
1575.0,1.0,4.0,3.0,4.0,5.0
1583.0,1.0,4.0,1.0,4.0,2.0
1601.0,2.0,4.0,2.0,4.0,1.0
1620.0,4.0,4.0,1.0,4.0,1.0
1630.0,4.0,3.0,1.0,4.0,1.0
1661.0,4.0,4.0,2.0,4.0,1.0
1665.0,1.0,4.0,3.0,4.0,2.0
1668.0,1.0,4.0,2.0,4.0,1.0
1685.0,4.0,3.0,2.0,4.0,5.0
1688.0,4.0,4.0,3.0,4.0,4.0
1705.0,2.0,4.0,2.0,4.0,5.0
1708.0,2.0,4.0,1.0,4.0,1.0
1711.0,2.0,4.0,1.0,4.0,1.0
1722.0,4.0,4.0,3.0,4.0,5.0
1728.0,3.0,4.0,3.0,4.0,5.0
1743.0,3.0,4.0,3.0,4.0,2.0
1748.0,4.0,2.0,1.0,4.0,1.0
1749.0,3.0,3.0,2.0,4.0,1.0
1755.0,1.0,3.0,1.0,4.0,1.0
1761.0,3.0,4.0,3.0,4.0,1.0
1768.0,2.0,4.0,2.0,4.0,5.0
1770.0,4.0,4.0,3.0,1.0,5.0
1775.0,3.0,4.0,3.0,4.0,5.0
1801.0,4.0,4.0,3.0,4.0,1.0
1808.0,2.0,4.0,2.0,4.0,5.0
1817.0,2.0,3.0,1.0,4.0,1.0
1823.0,4.0,4.0,2.0,3.0,1.0
1831.0,3.0,4.0,3.0,4.0,5.0
1855.0,2.0,3.0,2.0,4.0,5.0
1857.0,2.0,4.0,1.0,4.0,1.0
1879.0,4.0,2.0,1.0,4.0,1.0
1888.0,1.0,3.0,3.0,4.0,5.0
1890.0,4.0,4.0,2.0,4.0,2.0
1894.0,1.0,2.0,2.0,4.0,1.0
1914.0,4.0,3.0,3.0,4.0,1.0
1915.0,4.0,2.0,1.0,4.0,1.0
1926.0,1.0,4.0,3.0,4.0,5.0
1927.0,4.0,4.0,3.0,4.0,5.0
1929.0,3.0,4.0,1.0,4.0,1.0
1941.0,3.0,3.0,1.0,4.0,1.0
1959.0,2.0,3.0,2.0,4.0,5.0
1968.0,2.0,4.0,1.0,4.0,1.0
1971.0,1.0,4.0,3.0,4.0,5.0
1992.0,4.0,2.0,2.0,4.0,5.0
2024.0,4.0,4.0,1.0,4.0,5.0
2027.0,1.0,4.0,3.0,4.0,5.0
2063.0,1.0,4.0,3.0,4.0,5.0
2064.0,3.0,3.0,2.0,4.0,4.0
2066.0,3.0,3.0,2.0,4.0,5.0
2072.0,2.0,4.0,3.0,4.0,1.0
2079.0,1.0,3.0,2.0,5.0,3.0
2086.0,4.0,4.0,2.0,5.0,5.0
2091.0,4.0,3.0,3.0,4.0,5.0
2100.0,1.0,3.0,1.0,4.0,1.0
